sim-profile: SimpleScalar/PISA Tool Set version 3.0 of August, 2003.
Copyright (c) 1994-2003 by Todd M. Austin, Ph.D. and SimpleScalar, LLC.
All Rights Reserved. This version of SimpleScalar is licensed for academic
non-commercial use.  No portion of this work may be used by any commercial
entity, or for any commercial purpose, without the prior written permission
of SimpleScalar, LLC (info@simplescalar.com).

sim: command line: /usr/ensta/pack/simplescalar-3v0d/simplesim-3.0/sim-profile -iclass -iprof -redir:sim mlp.out mlp.ss 

sim: simulation started @ Fri Mar  7 16:09:40 2025, options follow:

sim-profile: This simulator implements a functional simulator with
profiling support.  Run with the `-h' flag to see profiling options
available.

# -config                     # load configuration from a file
# -dumpconfig                 # dump configuration to a file
# -h                    false # print help message    
# -v                    false # verbose operation     
# -d                    false # enable debug message  
# -i                    false # start in Dlite debugger
-seed                       1 # random number generator seed (0 for timer seed)
# -q                    false # initialize and terminate immediately
# -chkpt               <null> # restore EIO trace execution from <fname>
# -redir:sim          mlp.out # redirect simulator output to file (non-interactive only)
# -redir:prog          <null> # redirect simulated program output to file
-nice                       0 # simulator scheduling priority
-max:inst                   0 # maximum number of inst's to execute
-all                    false # enable all profile options
-iclass                  true # enable instruction class profiling
-iprof                   true # enable instruction profiling
-brprof                 false # enable branch instruction profiling
-amprof                 false # enable address mode profiling
-segprof                false # enable load/store address segment profiling
-tsymprof               false # enable text symbol profiling
-taddrprof              false # enable text address profiling
-dsymprof               false # enable data symbol profiling
-internal               false # include compiler-internal symbols during symbol profiling
# -pcstat              <null> # profile stat(s) against text addr's (mult uses ok)

sim: ** starting functional simulation **

sim: ** simulation statistics **
sim_num_insn              118274041 # total number of instructions executed
sim_num_refs               26809297 # total number of loads and stores executed
sim_elapsed_time                 13 # total simulation time in seconds
sim_inst_rate          9098003.1538 # simulation speed (in insts/sec)

sim_inst_class_prof    # instruction class profile
sim_inst_class_prof.array_size = 7
sim_inst_class_prof.bucket_size = 1
sim_inst_class_prof.count = 7
sim_inst_class_prof.total = 118274040
sim_inst_class_prof.imin = 0
sim_inst_class_prof.imax = 7
sim_inst_class_prof.average = 16896291.4286
sim_inst_class_prof.std_dev = 28748209.0829
sim_inst_class_prof.overflows = 0
# pdf == prob dist fn, cdf == cumulative dist fn
#          index      count    pdf 
sim_inst_class_prof.start_dist
load               18204396  15.39 
store               8604901   7.28 
uncond branch       2000798   1.69 
cond branch         9054209   7.66 
int computation    80409723  67.99 
fp computation            0   0.00 
trap                     13   0.00 
sim_inst_class_prof.end_dist


sim_inst_prof          # instruction profile
sim_inst_prof.array_size = 119
sim_inst_prof.bucket_size = 1
sim_inst_prof.count = 119
sim_inst_prof.total = 118274040
sim_inst_prof.imin = 0
sim_inst_prof.imax = 119
sim_inst_prof.average = 993899.4958
sim_inst_prof.std_dev = 3964926.8061
sim_inst_prof.overflows = 0
# pdf == prob dist fn, cdf == cumulative dist fn
#          index      count    pdf 
sim_inst_prof.start_dist
nop                      10   0.00 
j        J              242   0.00 
jal      J          1000253   0.85 
jr       s          1000283   0.85 
jalr     d,s             20   0.00 
beq      s,t,j        51564   0.04 
bne      s,t,j      8602586   7.27 
blez     s,j         400027   0.34 
bgtz     s,j             22   0.00 
bltz     s,j              4   0.00 
bgez     s,j              6   0.00 
bc1f     j                0   0.00 
bc1t     j                0   0.00 
lb       t,o(b)         227   0.00 
lbu      t,o(b)         312   0.00 
lh       t,o(b)           0   0.00 
lhu      t,o(b)          13   0.00 
lw       t,o(b)    18203836  15.39 
dlw      t,o(b)           8   0.00 
l.s      T,o(b)           0   0.00 
l.d      T,o(b)           0   0.00 
lwl      t,o(b)           0   0.00 
lwr      t,o(b)           0   0.00 
sb       t,o(b)         194   0.00 
sh       t,o(b)           0   0.00 
sw       t,o(b)     8604699   7.28 
dsw      t,o(b)           8   0.00 
dsz      o(b)             0   0.00 
s.s      T,o(b)           0   0.00 
s.d      T,o(b)           0   0.00 
swl      t,o(b)           0   0.00 
swr      t,o(b)           0   0.00 
lb       t,(b+d)          0   0.00 
lbu      t,(b+d)          0   0.00 
lh       t,(b+d)          0   0.00 
lhu      t,(b+d)          0   0.00 
lw       t,(b+d)          0   0.00 
dlw      t,(b+d)          0   0.00 
l.s      T,(b+d)          0   0.00 
l.d      T,(b+d)          0   0.00 
sb       t,(b+d)          0   0.00 
sh       t,(b+d)          0   0.00 
sw       t,(b+d)          0   0.00 
dsw      t,(b+d)          0   0.00 
dsz      (b+d)            0   0.00 
s.s      T,(b+d)          0   0.00 
s.d      T,(b+d)          0   0.00 
l.s.r2   T,(b+d)          0   0.00 
s.s.r2   T,(b+d)          0   0.00 
lw.r2    t,(b+d)          0   0.00 
sw.r2    t,(b+d)          0   0.00 
add      d,s,t            0   0.00 
addi     t,s,i            0   0.00 
addu     d,s,t     32052113  27.10 
addiu    t,s,i      9053139   7.65 
sub      d,s,t            0   0.00 
subu     d,s,t       200145   0.17 
mult     s,t        6800101   5.75 
multu    s,t              0   0.00 
div      s,t              0   0.00 
divu     s,t             33   0.00 
mfhi     d               32   0.00 
mthi     s                0   0.00 
mflo     d          6800134   5.75 
mtlo     s                0   0.00 
and      d,s,t           98   0.00 
andi     t,s,u         1332   0.00 
or       d,s,t          104   0.00 
ori      t,s,u        50308   0.04 
xor      d,s,t          123   0.00 
xori     t,s,u           12   0.00 
nor      d,s,t      1000278   0.85 
sll      d,t,H     14600385  12.34 
sllv     d,t,s           54   0.00 
srl      d,t,H      1000083   0.85 
srlv     d,t,s           40   0.00 
sra      d,t,H           45   0.00 
srav     d,t,s            4   0.00 
slt      d,s,t        50005   0.04 
slti     t,s,i      8600126   7.27 
sltu     d,s,t          469   0.00 
sltiu    t,s,i          181   0.00 
add.s    D,S,T            0   0.00 
add.d    D,S,T            0   0.00 
sub.s    D,S,T            0   0.00 
sub.d    D,S,T            0   0.00 
mul.s    D,S,T            0   0.00 
mul.d    D,S,T            0   0.00 
